sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
10006;BME280;5042;42.626;23.382;2020-06-10T05:42:12;93951.44;;;17.13;98.06
10006;BME280;5042;42.626;23.382;2020-06-10T05:44:53;93960.69;;;17.27;95.37
10006;BME280;5042;42.626;23.382;2020-06-10T05:47:27;93968.81;;;17.21;94.35
10006;BME280;5042;42.626;23.382;2020-06-10T05:50:12;93964.81;;;17.18;93.07
10006;BME280;5042;42.626;23.382;2020-06-10T05:53:04;93975.62;;;17.33;93.73
10006;BME280;5042;42.626;23.382;2020-06-10T05:55:45;93972.03;;;17.56;95.86
10006;BME280;5042;42.626;23.382;2020-06-10T05:58:29;93972.00;;;17.73;92.38
10006;BME280;5042;42.626;23.382;2020-06-10T06:01:06;93973.78;;;17.85;94.37
10006;BME280;5042;42.626;23.382;2020-06-10T06:03:50;93978.81;;;17.86;93.61
10006;BME280;5042;42.626;23.382;2020-06-10T06:06:34;93983.31;;;18.02;93.00
10006;BME280;5042;42.626;23.382;2020-06-10T06:09:30;93983.41;;;17.91;92.20
10006;BME280;5042;42.626;23.382;2020-06-10T06:12:12;93978.88;;;18.08;92.76
10006;BME280;5042;42.626;23.382;2020-06-10T06:14:48;93985.56;;;18.33;95.12
10006;BME280;5042;42.626;23.382;2020-06-10T06:17:19;93992.34;;;18.68;93.74
10006;BME280;5042;42.626;23.382;2020-06-10T06:20:05;93993.13;;;18.90;87.81
10006;BME280;5042;42.626;23.382;2020-06-10T06:22:50;93999.50;;;18.89;86.34
10006;BME280;5042;42.626;23.382;2020-06-10T06:25:40;93998.44;;;19.17;89.17
10006;BME280;5042;42.626;23.382;2020-06-10T06:28:18;93989.06;;;19.10;88.56
10006;BME280;5042;42.626;23.382;2020-06-10T06:31:00;93998.78;;;18.99;88.25
10006;BME280;5042;42.626;23.382;2020-06-10T06:33:43;93996.28;;;19.14;86.70
10006;BME280;5042;42.626;23.382;2020-06-10T06:36:24;94005.72;;;19.27;86.88
10006;BME280;5042;42.626;23.382;2020-06-10T06:39:08;93996.25;;;19.41;83.10
10006;BME280;5042;42.626;23.382;2020-06-10T06:41:45;93997.50;;;19.66;83.64
10006;BME280;5042;42.626;23.382;2020-06-10T06:44:34;93991.53;;;19.81;83.92
10006;BME280;5042;42.626;23.382;2020-06-10T06:47:12;93987.16;;;20.07;81.41
10006;BME280;5042;42.626;23.382;2020-06-10T06:49:56;93992.81;;;20.21;79.04
10006;BME280;5042;42.626;23.382;2020-06-10T06:52:37;93993.41;;;20.33;80.90
10006;BME280;5042;42.626;23.382;2020-06-10T06:55:17;93988.34;;;20.26;80.59
10006;BME280;5042;42.626;23.382;2020-06-10T06:57:57;93991.06;;;20.37;83.55
